LCH_index,step_list
LCH_0,"[128, 128, 128]"
LCH_1,"[129, 54, 129, 54, 129, 54]"
LCH_2,"[113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 46, 114, 113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 46, 114, 113, 46, 46, 114]"
LCH_3,"[113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 46, 114]"
LCH_4,"[113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 113, 46, 114]"
LCH_5,"[113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 46, 114]"
LCH_6,"[113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 46, 114, 113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 113, 46, 114]"
LCH_7,"[113, 113, 113, 113, 45, 52, 46, 46, 110, 152, 161, 152, 161, 152, 46, 114, 114, 114, 113, 46, 114]"
LCH_8,"[113, 113, 114, 116, 116, 46, 52, 111, 113, 46, 46, 114, 116]"
LCH_9,"[113, 113, 114, 116, 116, 46, 52, 111, 113]"
LCH_10,"[113, 113, 114, 116, 116, 46, 52, 111, 113]"
LCH_11,"[113, 113, 46, 152, 161, 152, 161, 152, 161]"
LCH_12,"[117, 117, 117, 123, 124, 8, 7, 5, 5, 46, 46, 46, 46, 121, 117, 152, 161, 152, 161, 46, 44, 121, 44, 46, 44, 46, 46, 46, 46]"
LCH_13,"[117, 117, 117, 123, 124, 8, 7, 5, 5, 46, 46, 46, 46, 121, 117, 152, 161, 152, 161, 46, 44, 121, 44, 46, 44, 46, 46, 46, 46]"
LCH_14,"[117, 117, 117, 123, 124, 8, 7, 5, 5, 46, 46, 46, 46, 121, 117, 152, 161, 152, 161, 46, 44, 121, 44, 46, 44, 46, 46, 46, 46]"
LCH_15,"[43, 46, 63]"
LCH_16,"[110, 43, 46, 46, 114, 113, 46, 46, 46, 46, 114]"
LCH_17,"[117, 43, 46, 46, 96, 152, 161, 86, 88, 91, 117, 43, 46, 46, 44, 46, 96, 152, 161, 86, 88, 91]"
